alpha,T_max,T_exp,T_scale,objective1,objective2
0.7,0.09808889,2.528473,0.78933024,-0.41046198800410844,0.49584149564034335
0.4,0.09770027,2.801452,0.8786254,-0.5302490642727654,0.501994125667194
1.0,0.09882644,2.802088,0.72375643,-0.4166799737416965,0.48251302003850505
0.8,0.09875935,2.6368701,0.6312964,-0.47518269992191975,0.48610208407798267
0.3,0.097222164,2.8209937,0.95194376,-0.5330040649200664,0.5122259953384912
0.9,0.0989428,2.3109558,0.6520637,-0.36525042918054845,0.4760589761847684
0.6,0.09839794,2.4353924,0.8680121,-0.4173090706260148,0.500564101900433
0.5,0.09749331,2.7338912,0.87818044,-0.4130032136069037,0.48850822641686664
0.0,0.008859102,0.24680692,0.9801879,-0.9883442610221131,0.5905884534720575
0.1,0.003923948,1.2904924,0.5197399,-0.9744867628243276,0.5965418692239135
0.2,0.09762668,2.9391046,0.9714064,-0.7733643798694156,0.5896224376288735
