alpha,T_max,T_exp,T_scale,objective1,objective2
0.0,0.04788577,0.3104971,0.24294256,-0.9898115504120751,0.5706877119491885
0.0,0.0439399,0.305849,0.23777178,-0.9877151665983184,0.5585715305719859
0.0,0.051397443,0.32504967,0.237794,-0.997713970721327,0.5611934902271346
0.0,0.046469074,0.31519386,0.23868385,-0.9893462905941292,0.5616838048582703
0.0,0.043935593,0.3216517,0.23845568,-0.9916362670551806,0.5616040069222266
0.0,0.040975466,0.30601493,0.2403425,-0.9868790164398424,0.558783951440693
0.0,0.045539655,0.30459005,0.24332964,-0.98541906976594,0.5633071077823639
0.0,0.0445025,0.30386522,0.24272713,-0.9789565430448067,0.5631597458049015
0.0,0.047690347,0.30526012,0.24167587,-0.98350783261795,0.5633413374281524
0.0,0.054581743,0.3107664,0.24062802,-0.9849149370631158,0.5629330799833286
0.1,0.038859516,0.4160254,0.009999993,-0.9890966904967264,0.5653330914801358
0.1,0.048343256,0.40163353,0.016009007,-0.9917360793997707,0.5752337351704667
0.1,0.048352815,0.42244068,0.009999993,-0.993564932674685,0.5667629981983755
0.1,0.04417425,0.42143577,0.009999993,-0.9941879222450948,0.5687917766874246
0.1,0.039494038,0.41342437,0.009999993,-0.9853837677360552,0.5716808783301733
0.1,0.044992153,0.41041103,0.010571888,-0.9875468857470169,0.5568001798078748
0.1,0.04618668,0.42301083,0.010033455,-0.9956556479656316,0.5776612310526414
0.1,0.045707606,0.4303466,0.009999993,-0.9719218304026249,0.5675393428318598
0.1,0.043420706,0.42204875,0.009999993,-0.9677480121263896,0.5752114048581533
0.1,0.043371297,0.41942948,0.010002567,-0.9887583351791016,0.5651786934540821
0.2,0.0,0.04395901,0.6970974,-0.9964525096231582,0.5936034324149005
0.2,0.0,0.043036513,0.6960097,-0.9950020570719618,0.5967797086520992
0.2,0.0,0.042811424,0.69579524,-0.9755266439024608,0.5903249183113847
0.2,0.0,0.043148365,0.6964037,-0.9886425074821955,0.5965223259788174
0.2,0.0,0.043257933,0.6955196,-0.993784651982187,0.6037134202941353
0.2,0.0,0.04230962,0.69444627,-0.992423319054453,0.6156591613163728
0.2,0.0,0.04346013,0.6956354,-0.9964088199768604,0.601930478143916
0.2,0.0,0.04298271,0.6951602,-0.9957745552794706,0.6026791307756391
0.2,0.0,0.04281861,0.6952851,-0.9973876632838733,0.5998221920968134
0.2,0.0,0.042591736,0.6947344,-0.9903754011755346,0.6089144811447627
0.3,0.0,0.0,0.18458435,-0.9868326815244315,0.6019762570729402
0.3,0.0,0.0,0.1846568,-0.9915233608036157,0.6078060349825928
0.3,0.0,0.0,0.18432473,-0.9941360926850006,0.5959745121476696
0.3,0.0,0.0,0.18461321,-0.9909368915810164,0.6129626626912238
0.3,0.0,0.0,0.18443559,-0.9882010214974428,0.5929179938268987
0.3,0.0,0.0,0.18442826,-0.9974451796085763,0.5982912005516483
0.3,0.0,0.0,0.18579142,-0.9886195659903693,0.6076970037327466
0.3,0.0,0.0,0.18514308,-0.9928600656085159,0.6124325776704853
0.3,0.0,0.0,0.18476062,-0.9972999708987018,0.6082584353667048
0.3,0.0,0.0,0.18878004,-0.9707638300490262,0.604887245586087
0.4,0.0,0.0,0.40228528,-0.9971371632564865,0.610784405354599
0.4,0.0,0.0,0.38326862,-0.9865852394150403,0.6011960513235194
0.4,0.0,0.0,0.39112312,-0.9949413587173848,0.6054284984399375
0.4,0.0,0.0,0.39409354,-0.9916422919258929,0.6065113185143653
0.4,0.0,0.0,0.39128458,-0.97739419157697,0.6089327086122927
0.4,0.0,0.0,0.39588168,-0.9962673478194611,0.6015549461271305
0.4,0.0,0.0,0.39817378,-0.996396051679694,0.6111425065933344
0.4,0.0,0.0,0.39648843,-0.9959285711619899,0.6112624287924364
0.4,0.0,0.0,0.3965147,-0.9947314518005221,0.6051340945030672
0.4,0.0,0.0,0.38886654,-0.9909930044356143,0.6003120700176147
0.5,0.0,0.0,0.009999993,-0.996512503995457,0.6033378185596564
0.5,0.0,0.0,0.009999993,-0.9907709785977099,0.5946978197498163
0.5,0.0,0.0,0.009999993,-0.9952643628564934,0.5916551069038879
0.5,0.0,0.0,0.009999993,-0.9935888072510253,0.5981169010389705
0.5,0.0,0.0,0.009999993,-0.9887442788206557,0.6009218123580155
0.5,0.0,0.0,0.009999993,-0.9955462168494923,0.5947032263917081
0.5,0.0,0.0,0.009999993,-0.9867978592834176,0.5880912290921939
0.5,0.0,0.0,0.009999993,-0.9938711752328182,0.6087238696273359
0.5,0.0,0.0,0.009999993,-0.9854368379318085,0.6070737655890206
0.5,0.0,0.0,0.009999993,-0.989095652661959,0.6000330528735549
0.6,0.0,0.0,0.009999993,-0.9856492708779466,0.6026157028357747
0.6,0.0,0.0,0.009999993,-0.9934548574014557,0.6011491108365123
0.6,0.0,0.0,0.009999993,-0.9858490812437881,0.6068357907426392
0.6,0.0,0.0,0.009999993,-0.9911679584688861,0.6068868574519237
0.6,0.0,0.0,0.009999993,-0.9966849658762503,0.5913823433119725
0.6,0.0,0.0,0.009999993,-0.997669660303094,0.6086045757956026
0.6,0.0,0.0,0.009999993,-0.9935462238155407,0.597005055587279
0.6,0.0,0.0,0.009999993,-0.986207388114882,0.6059287206416785
0.6,0.0,0.0,0.009999993,-0.9923761270867882,0.6122978374512403
0.6,0.0,0.0,0.009999993,-0.981351285099107,0.5933056786886955
0.7,0.0,0.0,0.42756107,-0.9832330152929513,0.5960855161401603
0.7,0.0,0.0,0.43742973,-0.9746815781936123,0.6011414115191901
0.7,0.0,0.0,0.4391101,-0.9808791314650349,0.6005758602795155
0.7,0.0,0.0,0.4275423,-0.9956467491133106,0.602189368222249
0.7,0.0,0.0,0.42479175,-0.9975928928006033,0.5965234778080625
0.7,0.0,0.0,0.4315077,-0.9943155438830853,0.6043775390214515
0.7,0.0,0.0,0.45637298,-0.9844727418082492,0.6088437758192051
0.7,0.0,0.0,0.44326887,-0.9975761144766813,0.606730280532275
0.7,0.0,0.0,0.4599136,-0.9848228422572877,0.6204147061368404
0.7,0.0,0.0,0.42097694,-0.9814501052822783,0.5924292109822705
0.8,0.10000002,1.9294078,0.009999993,-0.4274101581164459,0.45349147608467777
0.8,0.10000002,1.9294151,0.009999993,-0.4199291018825119,0.4648937146194869
0.8,0.10000002,1.9293969,0.009999993,-0.47245538901692263,0.4478066848023557
0.8,0.10000002,1.929407,0.009999993,-0.4602504317929382,0.4545582877628593
0.8,0.10000002,1.9294047,0.009999993,-0.492567154443459,0.4524990219215181
0.8,0.10000002,1.9294,0.009999993,-0.44246593348980134,0.4451214880592195
0.8,0.10000002,1.9294122,0.009999993,-0.39515874114374305,0.4487125727173831
0.8,0.10000002,1.9294003,0.009999993,-0.5076859222446876,0.45540833646394546
0.8,0.10000002,1.9294157,0.009999993,-0.38994296398338085,0.4544614208260699
0.8,0.10000002,1.929404,0.009999993,-0.4902298338662249,0.46000935158104694
0.9,0.10000002,1.532171,0.009999993,-0.46063551512019996,0.4677236634048525
0.9,0.10000002,1.5321648,0.009999993,-0.4449745263342117,0.45423901346338286
0.9,0.10000002,1.5321692,0.009999993,-0.4257055857932209,0.4523262212261144
0.9,0.10000002,1.5321652,0.009999993,-0.5183802982194607,0.45522803504806825
0.9,0.10000002,1.5321667,0.009999993,-0.4875921009964557,0.4578230444944225
0.9,0.10000002,1.532167,0.009999993,-0.43153105826620736,0.4544612011121121
0.9,0.10000002,1.5321641,0.009999993,-0.4759263846172177,0.4532606080860749
0.9,0.10000002,1.5321583,0.009999993,-0.4795885513072682,0.44910220767253173
0.9,0.10000002,1.5321593,0.009999993,-0.4364368174124553,0.44962460872453575
0.9,0.10000002,1.5321594,0.009999993,-0.6031382445021575,0.451406569767598
1.0,0.10000002,2.1451855,0.009999993,-0.4288365387283916,0.45463180144353244
1.0,0.10000002,2.1451738,0.009999993,-0.44536346864879944,0.4452667885798015
1.0,0.10000002,2.1451738,0.009999993,-0.4732527757143153,0.45403137470293986
1.0,0.10000002,2.1451964,0.009999993,-0.5119564442356215,0.4636212732219628
1.0,0.10000002,2.1451578,0.009999993,-0.4539520784009007,0.4480984853341552
1.0,0.10000002,2.1452072,0.009999993,-0.5545219637821411,0.45617459148466416
1.0,0.10000002,2.1451647,0.009999993,-0.46365546241844435,0.4536636177991895
1.0,0.10000002,2.1451943,0.009999993,-0.4608702747328783,0.45206881043228775
1.0,0.10000002,2.1451662,0.009999993,-0.442847289380223,0.4517846472573015
1.0,0.10000002,2.14516,0.009999993,-0.4133234167685928,0.45075670037812043
