alpha,T_max,T_exp,T_scale,objective1,objective2
0.0,0.0,0.0,0.7387735,26.20749228410823,13.763729554456951
0.0,0.0,0.0,0.7610228,25.56432440729199,9.203120687858545
0.0,0.0,0.0,0.8566249,20.711157131561674,10.381784765215215
0.0,0.0,0.0,0.8449518,14.525383842462192,9.89274232775757
0.0,0.0,0.0,0.8620112,25.03798335585478,10.740469226605391
0.0,0.0,0.0,0.80660385,27.57078321880364,9.91554946014551
0.0,0.0,0.0,0.73905826,16.73276936464474,11.918969697303458
0.0,0.0,0.0,0.8652018,20.68166139361664,7.935180180487833
0.0,0.0,0.0,0.8412272,13.710907401004613,8.469875897063254
0.0,0.0,0.0,0.8383741,12.00493623921293,7.915990195542191
0.0,0.0,0.0,0.8412049,19.518265676095076,9.02573259797547
0.0,0.0,0.0,0.7551425,22.366684422476975,9.565699423795436
0.0,0.0,0.0,0.8085207,30.42793059088657,10.268838579034059
0.0,0.0,0.0,0.83834285,20.40059852961025,11.56844315941525
0.0,0.0,0.0,0.828076,25.543911703598663,10.050709382099608
0.0,0.0,0.0,0.84697604,30.980834821585617,11.77069807803656
0.0,0.0,0.0,0.7469837,18.081913448841206,8.507760526758041
0.0,0.0,0.0,0.8454682,20.340330754659064,8.759060708707903
0.0,0.0,0.0,0.8499871,15.152649471004175,6.651402111491559
0.0,0.0,0.0,0.7401979,21.22663479147682,12.277279305135773
0.0,0.0,0.0,0.7942106,17.375053073134726,10.1136039755065
0.0,0.0,0.0,0.8556096,16.509792989422394,10.996080985891615
0.0,0.0,0.0,0.8337223,28.68111137922355,9.975303630706444
0.0,0.0,0.0,0.8320672,12.834388294471118,10.33455941112409
0.0,0.0,0.0,0.71704614,11.886490050648556,10.361489991873105
0.0,0.0,0.0,0.85661614,25.91706657981732,10.081748046634683
0.0,0.0,0.0,0.8521412,17.847486681059593,8.512847715266407
0.0,0.0,0.0,0.87836885,19.06939147192974,10.808382191478765
0.0,0.0,0.0,0.7487188,26.571910000115384,10.79552162324844
0.0,0.0,0.0,0.8457584,24.148064651756204,7.144981210771024
0.0,0.0,0.0,0.8303519,25.999217871941642,8.468699187016432
0.0,0.0,0.0,0.78172296,15.614860761122538,9.969388596340329
0.0,0.0,0.0,0.8209275,11.979859363570087,6.951956979041503
0.0,0.0,0.0,0.84226876,14.913051920242781,8.17448144833294
0.0,0.0,0.0,0.8162606,11.424177549422827,9.543786023072188
0.0,0.0,0.0,0.84164846,19.188602722935688,8.730341193217486
0.0,0.0,0.0,0.8510137,21.08672295001252,7.670313276891485
0.0,0.0,0.0,0.8467853,19.923953654339954,9.65909476646808
0.0,0.0,0.0,0.73471606,16.26879731966816,9.30617581355669
0.0,0.0,0.0,0.7826217,15.389416814184921,7.740985970894469
0.0,0.0,0.0,0.8621226,15.356484691226946,7.18334424288812
0.0,0.0,0.0,0.84799457,15.733620255910038,8.554369248031795
0.0,0.0,0.0,0.83410406,14.65555621791289,8.06243587109452
0.0,0.0,0.0,0.8082032,21.63894782147575,10.391077175660664
0.0,0.0,0.0,0.8612551,20.130806058019516,10.515863317480573
0.0,0.0,0.0,0.7907769,17.41434774148733,8.838736163503539
0.0,0.0,0.0,0.7892799,25.814340119758363,11.377265829924436
0.0,0.0,0.0,0.8521846,11.259594144026908,9.704856728360632
0.0,0.0,0.0,0.8559897,24.024439886911917,9.916022553592066
0.0,0.0,0.0,0.8193966,25.875867862607198,8.142728224077588
0.0,0.0,0.0,0.8230653,22.925736804995303,8.894781835463714
0.0,0.0,0.0,0.8378045,19.19307278847653,9.523981458180836
0.0,0.0,0.0,0.8203444,17.809002756252347,9.863713217905405
0.0,0.0,0.0,0.7767031,30.796498144105986,9.112048543333252
0.0,0.0,0.0,0.84565765,14.31070040504867,8.484249423365602
0.0,0.0,0.0,0.7955692,13.726280865979685,8.444443918533151
0.0,0.0,0.0,0.83563447,15.614359966590357,8.052376082251667
0.0,0.0,0.0,0.7552087,11.222379547798102,11.418640697106266
0.0,0.0,0.0,0.8533492,12.748133685521363,8.789346934695839
0.0,0.0,0.0,0.82180786,20.19396357689751,9.386985248265479
0.0,0.0,0.0,0.7396221,28.055678550756493,9.364524360618335
0.0,0.0,0.0,0.8303951,18.15025450450021,7.985644582736341
0.0,0.0,0.0,0.82504636,19.49463187015371,10.045736501288669
0.0,0.0,0.0,0.86032,15.482872413523864,8.764553566134134
0.0,0.0,0.0,0.77602607,23.734006739800556,10.155891522571311
0.0,0.0,0.0,0.8100687,15.748345722987981,9.400204554001547
0.0,0.0,0.0,0.8479941,20.879437128489993,11.937526572374571
0.0,0.0,0.0,0.84611285,24.715903987629158,8.663941107750981
0.0,0.0,0.0,0.85541517,17.052974863273704,8.304337820395254
0.0,0.0,0.0,0.82545274,26.577963533529005,7.580272803294791
0.0,0.0,0.0,0.8486514,18.288658868459446,9.050387622508065
0.0,0.0,0.0,0.85557115,25.144055288183516,9.579586986112872
0.0,0.0,0.0,0.7798227,18.756338364773878,10.281866407936889
0.0,0.0,0.0,0.83572924,28.044591808543572,10.395108948322363
0.0,0.0,0.0,0.8206324,23.321320696901633,8.95375639177954
0.0,0.0,0.0,0.84217054,10.585716430406306,8.141256234306296
0.0,0.0,0.0,0.82858306,11.341478224312505,9.398539778702927
0.0,0.0,0.0,0.8550363,21.472265699045828,9.982225762371563
0.0,0.0,0.0,0.7809438,29.065077883257544,13.205639317173699
0.0,0.0,0.0,0.84198684,30.27360869195804,10.86979376082665
0.0,0.0,0.0,0.75491923,27.01479617251178,13.10299477481892
0.0,0.0,0.0,0.8207965,12.867500621380707,9.762857792346786
0.0,0.0,0.0,0.8625535,15.989660209937519,8.42461574589163
0.0,0.0,0.0,0.8582543,18.87228717701334,9.952292334850409
0.0,0.0,0.0,0.84538627,17.317818303400085,9.654292420620118
0.0,0.0,0.0,0.8652273,18.813039866281983,9.46929162378021
0.0,0.0,0.0,0.8486277,29.36992229307352,8.701917031009598
0.0,0.0,0.0,0.868179,17.93703598833978,8.988462793442388
0.0,0.0,0.0,0.74082506,19.50685544476166,10.97978694298082
