alpha,T_max,T_exp,T_scale,objective1,objective2
0.0,0.0,0.0,0.8705932,-27.931575233116632,9.913946970776578
0.0,0.0,0.0,0.8545007,-22.20676296966022,8.724675447375018
0.0,0.0,0.0,0.82246995,-12.975316886037856,8.505528635555448
0.0,0.0,0.0,0.8729543,-23.01468405929661,11.004484164302898
0.0,0.0,0.0,0.8512221,-27.823625517923155,8.41898310270093
0.0,0.0,0.0,0.7964502,-17.418786753047684,9.27793779223581
0.0,0.0,0.0,0.84454095,-27.335211642450663,7.796030384944787
0.0,0.0,0.0,0.83103484,-15.481973038321264,10.957567840875958
0.0,0.0,0.0,0.8304714,-11.965979121252317,10.227491644234899
0.0,0.0,0.0,0.8465897,-29.95606024683923,9.01635869774247
0.1,0.0,0.18673386,0.39162856,-21.806379421156763,8.267804848384223
0.1,0.0,0.075146005,0.35624897,-30.711641582417865,10.55196554708426
0.1,0.0,0.079920374,0.35652936,-27.455288486110426,8.147031336762941
0.1,0.0,0.089644186,0.35590634,-16.726643040221155,7.581902122446906
0.1,0.0,0.11233824,0.3709323,-28.150418302784082,8.998691832232101
0.1,0.0,0.08583644,0.35636792,-19.73770066938288,8.078104193290628
0.1,0.0,0.0933839,0.36084586,-16.78531149413215,7.473754012557722
0.1,0.0,0.09136837,0.36026597,-22.552415455946957,7.526110456477276
0.1,0.0,0.09042116,0.35910702,-18.37263681187225,8.065503180694721
0.1,0.0,0.090740375,0.3572937,-26.519396278270218,10.07305968943861
0.2,0.10000002,1.659367,0.009999993,-3.282790152727368,0.19477109052107358
0.2,0.10000002,1.6593757,0.009999993,-5.708405597160477,0.19464683184704012
0.2,0.10000002,1.6594212,0.009999993,-3.412704903068821,0.194221935034599
0.2,0.10000002,1.6593683,0.009999993,-4.904980519667796,0.19442794521779216
0.2,0.10000002,1.6594006,0.009999993,-3.4978990749915373,0.19428451901575375
0.2,0.10000002,1.6594597,0.009999993,-2.527297533153535,0.19444371124436263
0.2,0.10000002,1.659418,0.009999993,-3.9900367382736563,0.19408886578120682
0.2,0.10000002,1.6593971,0.009999993,-5.415510400394785,0.1954201089069976
0.2,0.10000002,1.6594069,0.009999993,-3.915740692788077,0.1941624108221551
0.2,0.10000002,1.6593804,0.009999993,-3.5138684223124295,0.1947222846765533
0.3,0.10000002,2.0160902,0.009999993,-2.9318983533011704,0.19544626643952587
0.3,0.10000002,2.016196,0.009999993,-3.1849560434243442,0.19402623397231816
0.3,0.10000002,2.0167735,0.009999993,-4.260893777624076,0.19414263910254548
0.3,0.10000002,2.017564,0.009999993,-4.340228216580989,0.19479669140726277
0.3,0.10000002,2.017414,0.009999993,-3.690985431065909,0.19406542804046378
0.3,0.10000002,2.0167718,0.009999993,-3.3811693666796527,0.19381363415108957
0.3,0.10000002,2.0180635,0.009999993,-5.460754713740207,0.19407813556666667
0.3,0.10000002,2.016865,0.009999993,-3.932164309222507,0.19454067461519703
0.3,0.10000002,2.0174394,0.009999993,-4.970134979721072,0.19452195355586518
0.3,0.10000002,2.0173757,0.009999993,-5.75376838823704,0.19439728995152056
0.4,0.0,0.0,0.009999993,-14.301603459089645,5.638866183344784
0.4,0.0,0.0,0.009999993,-14.59737515020915,5.244891532523394
0.4,0.0,0.0,0.009999993,-14.32904558808318,5.08361000000265
0.4,0.0,0.0,0.009999993,-15.382023010206758,4.011785710840181
0.4,0.0,0.0,0.009999993,-13.66174984307087,5.684416643523699
0.4,0.0,0.0,0.009999993,-21.556197522929356,5.5396886269184655
0.4,0.0,0.0,0.009999993,-20.240143299076433,5.579161137220837
0.4,0.0,0.0,0.009999993,-21.55166431938652,5.830115263705335
0.4,0.0,0.0,0.009999993,-14.295649508997997,4.49084866205749
0.4,0.0,0.0,0.009999993,-14.637272361267298,5.97270277356535
0.5,0.0,0.8563805,1.0,-14.83249500247223,7.313138201260627
0.5,0.0,0.86441386,1.0,-15.250319069375063,7.487926166541566
0.5,0.0,0.8677099,1.0,-13.691881772786736,7.433534990129337
0.5,0.0,0.87770593,1.0,-13.081477882741101,5.837181703042615
0.5,0.0,0.87573546,1.0,-23.221545818653837,7.870757577453126
0.5,0.0,0.8929394,1.0,-12.937050368211057,5.697341277308639
0.5,0.0,0.86650574,1.0,-13.890844013604422,5.649757021631666
0.5,0.0,0.86946845,1.0,-23.6649770712772,6.232372720734412
0.5,0.0,0.8402446,1.0,-20.975652782412325,5.266448042940859
0.5,0.0,0.8900913,1.0,-21.98527775796154,6.884418683535675
0.6,0.0,0.0,0.47549045,-29.561669987001277,8.333182378757412
0.6,0.0,0.0,0.45121816,-23.563878667618646,8.931888932185101
0.6,0.0,0.0,0.44851208,-20.124826511874325,7.820760937733114
0.6,0.0,0.0,0.45005932,-20.06445577932072,8.770675703226297
0.6,0.0,0.0,0.46165395,-19.191206011925452,7.732501114901689
0.6,0.0,0.0,0.46092963,-16.643543028943796,9.27588982740701
0.6,0.0,0.0,0.45372662,-18.73101358973242,9.831597281689083
0.6,0.0,0.0,0.4871439,-21.372656129129403,8.58683068543962
0.6,0.0,0.0,0.49185735,-10.639650261665956,9.617582336191857
0.6,0.0,0.0,0.47214898,-14.139308307515329,10.79596759782245
0.7,0.10000002,0.28680512,1.0,-5.285885658457005,0.7305320262822138
0.7,0.10000002,0.29362527,1.0,-6.434964267061251,0.798731776110348
